time,value,idx
2001-08-01,65.58,1
2001-09-01,66.48,2
2001-10-01,65.7,3
2001-11-01,64.33,4
2001-12-01,63.23,5
2002-01-01,62.94,6
2002-02-01,62.92,7
2002-03-01,62.73,8
2002-04-01,62.5,9
2002-05-01,63.35,10
2002-06-01,63.8,11
2002-07-01,64.21,12
2002-08-01,64.11,13
2002-09-01,64.04,14
2002-10-01,63,15
2002-11-01,61.9,16
2002-12-01,61.49,17
2003-01-01,62.27,18
2003-02-01,63.13,19
2003-03-01,63.86,20
2003-04-01,63.53,21
2003-05-01,64.6,22
2003-06-01,65.99,23
2003-07-01,67.5,24
2003-08-01,68.5,25
2003-09-01,69.23,26
2003-10-01,68.57,27
2003-11-01,68.36,28
2003-12-01,68.98,29
2004-01-01,69.58,30
2004-02-01,71.59,31
2004-03-01,73.09,32
2004-04-01,74.75,33
2004-05-01,76.59,34
2004-06-01,79.63,35
2004-07-01,80.94,36
2004-08-01,80.1,37
2004-09-01,78.16,38
2004-10-01,76,39
2004-11-01,74.71,40
2004-12-01,73.6,41
2005-01-01,73.44,42
2005-02-01,73.75,43
2005-03-01,73.88,44
2005-04-01,74,45
2005-05-01,74.29,46
2005-06-01,74.48,47
2005-07-01,74.75,48
2005-08-01,74.77,49
2005-09-01,75.19,50
2005-10-01,74.38,51
2005-11-01,72.69,52
2005-12-01,71.21,53
2006-01-01,69.86,54
2006-02-01,69.18,55
2006-03-01,68.29,56
2006-04-01,67.52,57
2006-05-01,67.87,58
2006-06-01,68.98,59
2006-07-01,69.9,60
2006-08-01,70.42,61
2006-09-01,70.69,62
2006-10-01,69.65,63
2006-11-01,69,64
2006-12-01,69.35,65
2007-01-01,71.33,66
2007-02-01,73.77,67
2007-03-01,76.37,68
2007-04-01,78.1,69
2007-05-01,79.52,70
2007-06-01,80.75,71
2007-07-01,81.17,72
2007-08-01,81.27,73
2007-09-01,81.55,74
2007-10-01,79.75,75
2007-11-01,77.77,76
2007-12-01,76.85,77
2008-01-01,77.25,78
2008-02-01,79.15,79
2008-03-01,81.23,80
2008-04-01,82.04,81
2008-05-01,83.46,82
2008-06-01,85.71,83
2008-07-01,88.25,84
2008-08-01,88.42,85
2008-09-01,88.4,86
2008-10-01,87.54,87
2008-11-01,86.93,88
2008-12-01,87.02,89
2009-01-01,87.25,90
2009-02-01,86.7,91
2009-03-01,85.73,92
2009-04-01,85.38,93
2009-05-01,86.96,94
2009-06-01,88.17,95
2009-07-01,88.56,96
2009-08-01,86.77,97
2009-09-01,84.88,98
2009-10-01,82.85,99
2009-11-01,82.13,100
2009-12-01,82.15,101
2010-01-01,83.04,102
2010-02-01,83.3,103
2010-03-01,84,104
2010-04-01,85.28,105
2010-05-01,86.45,106
2010-06-01,87.17,107
2010-07-01,87.84,108
2010-08-01,87.79,109
2010-09-01,87.75,110
2010-10-01,86.73,111
2010-11-01,85.46,112
2010-12-01,85.35,113
2011-01-01,85,114
2011-02-01,85.07,115
2011-03-01,86.08,116
2011-04-01,86.4,117
2011-05-01,86.54,118
2011-06-01,86.94,119
2011-07-01,87.34,120
2011-08-01,88.13,121
2011-09-01,88.98,122
2011-10-01,89,123
2011-11-01,89.23,124
2011-12-01,89.82,125
2012-01-01,90.35,126
2012-02-01,91.17,127
2012-03-01,92.79,128
2012-04-01,93.25,129
2012-05-01,94.06,130
2012-06-01,94.5,131
2012-07-01,94.73,132
2012-08-01,95.02,133
2012-09-01,95.65,134
2012-10-01,95.84,135
2012-11-01,96.64,136
2012-12-01,97.65,137
2013-01-01,99.12,138
2013-02-01,100.17,139
2013-03-01,101.46,140
2013-04-01,102.56,141
2013-05-01,104.1,142
2013-06-01,105.54,143
2013-07-01,106.41,144
2013-08-01,106.5,145
2013-09-01,106.19,146
2013-10-01,105.07,147
2013-11-01,104.69,148
2013-12-01,104.25,149
2014-01-01,104.4,150
2014-02-01,104.5,151
2014-03-01,105.25,152
2014-04-01,107.27,153
2014-05-01,108.79,154
2014-06-01,110.88,155
2014-07-01,112.6,156
2014-08-01,112.79,157
2014-09-01,113.52,158
2014-10-01,113.89,159
2014-11-01,113.93,160
2014-12-01,113.77,161
2015-01-01,114.1,162
2015-02-01,113.77,163
2015-03-01,114.27,164
2015-04-01,114.88,165
2015-05-01,115.96,166
2015-06-01,116,167
2015-07-01,115.9,168
2015-08-01,115.46,169
2015-09-01,115,170
2015-10-01,114.27,171
2015-11-01,113.36,172
2015-12-01,113.06,173
2016-01-01,112.52,174
2016-02-01,112.1,175
2016-03-01,111.56,176
2016-04-01,111.55,177
2016-05-01,111.98,178
2016-06-01,111.84,179
2016-07-01,111.46,180
