Day     Inspected       Defects         Ratio 
1       110             120             1.0909
2       82              94              1.1463
3       96              89              0.9271
4       115             162             1.4087
5       108             150             1.3889
6       56              82              1.4643
7       120             143             1.1917
8       98              134             1.3673
9       102             97              0.9510
10      115             145             1.2609
11      88              128             1.4545
12      71              83              1.1690
13      95              120             1.2632
14      103             116             1.1262
15      113             127             1.1239
16      85              92              1.0824
17      101             140             1.3861
18      42              60              1.4286
19      97              121             1.2474
20      92              108             1.1739
21      100             131             1.3100
22      115             119             1.0348
23      99              93              0.9394
24      57              88              1.5439
25      89              107             1.2022
26      101             105             1.0396
27      122             143             1.1721
28      105             132             1.2571
29      98              100             1.0204
30      48              60              1.2500
