# Calibration of a micrometer
# x is input position value
# y is transducer output
x,y
-10,-2.824
-9.274,-45.44
-8.547,-12.551
-7.821,-34.131
-7.095,-34.549
-6.369,5.713
-5.642,-18.713
-4.916,-21.646
-4.19,-30.995
-3.464,5.528
-2.737,4.956
-2.011,-16.859
-1.285,-10.483
-0.559,11.068
0.168,13.295
0.894,8.942
1.62,21.086
2.346,-1.754
3.073,-5.109
3.799,9.303
4.525,20.091
5.251,26.815
5.978,5.236
6.704,13.631
7.43,13.247
8.156,11.531
8.883,13.547
9.609,5.906
10.335,27.93
11.061,23.02
11.788,23.619
12.514,23.781
13.24,30.702
13.966,38.609
14.693,59.314
15.419,31.497
16.145,63.023
16.872,32.424
17.598,79.779
18.324,72.018
19.05,62.695
19.777,67.87
20.503,48.714
21.229,69.019
21.955,55.609
22.682,83.404
23.408,89.215
24.134,54.332
24.86,37.475
25.587,70.744
26.313,100.668
27.039,72.918
27.765,61.794
28.492,75.603
29.218,68.341
29.944,101.368
30.67,105.843
31.397,83.826
32.123,105.111
32.849,111.561
33.575,90.005
34.302,83.82
35.028,113.141
35.754,89.444
36.48,94.693
37.207,115.573
37.933,113.747
38.659,96.548
39.385,134.065
40.112,104.832
40.838,105.588
41.564,94.251
42.291,113.481
43.017,146.71
43.743,138.044
44.469,139.292
45.196,143.211
45.922,136.805
46.648,122.409
47.374,122.404
48.101,122.011
48.827,158.993
49.553,132.664
50.279,170.744
51.006,125.11
51.732,155.016
52.458,142.134
53.184,160.616
53.911,177.928
54.637,139.559
55.363,142.639
56.089,145.641
56.816,152.001
57.542,191.065
58.268,150.142
58.994,164.417
59.721,188.468
60.447,184.519
61.173,158.96
61.899,173.586
62.626,191.577
63.352,167.756
64.078,199.37
64.804,204.74
65.531,164.591
66.257,220.308
66.983,216.335
67.709,175.229
68.436,206.02
69.162,218.833
69.888,173.683
70.615,224.761
71.341,211.841
72.067,190.027
72.793,189.715
73.52,224.534
74.246,233.465
74.972,232.296
75.698,220.092
76.425,193.477
77.151,228.398
77.877,210.413
78.603,204.497
79.33,202.383
80.056,242.415
80.782,248.583
81.508,230.597
82.235,242.864
82.961,209.12
83.687,221.493
84.413,222.674
85.14,255
85.866,231.831
86.592,258.595
87.318,232.821
88.045,264.637
88.771,268.498
89.497,262.417
90.223,271.153
90.95,272.819
91.676,239.967
92.402,239.176
93.128,271.047
93.855,282.832
94.581,280.587
95.307,281.891
96.034,289.736
96.76,288.296
97.486,297.395
98.212,297.12
98.939,289.79
99.665,256.657
100.391,301.644
101.117,260.151
101.844,277.807
102.57,270.234
103.296,298.799
104.022,281.021
104.749,290.725
105.475,307.469
106.201,278.114
106.927,327.789
107.654,291.581
108.38,292.329
109.106,296.283
109.832,314.784
110.559,327.687
111.285,297.646
112.011,340.499
112.737,330.535
113.464,336.355
114.19,310.778
114.916,348.061
115.642,338.494
116.369,306.507
117.095,337.802
117.821,325.341
118.547,308.131
119.274,350.211
120,329.562
