# Difetti in produzione su 50 settimane
# S: numero settimana
# M1: conteggio difetti per macchina 1
# M2: conteggio difetti per macchina 2
# M3: conteggio difetti per macchina 3
S,M1,M2,M3
1,3,1,2
2,1,0,2
3,1,1,1
4,2,0,1
5,3,0,5
6,0,0,2
7,3,0,0
8,4,0,0
9,2,0,1
10,2,1,3
11,0,0,2
12,0,2,4
13,0,0,2
14,2,0,1
15,1,0,1
16,2,1,0
17,1,0,0
18,2,0,2
19,5,1,0
20,1,0,1
21,2,1,2
22,3,0,5
23,0,1,1
24,2,0,1
25,0,0,0
26,1,0,2
27,1,2,1
28,0,1,1
29,1,0,0
30,3,1,0
31,1,2,2
32,1,0,1
33,2,1,0
34,1,0,0
35,0,0,2
36,3,1,3
37,2,0,2
38,2,1,1
39,0,0,1
40,2,0,4
41,1,0,1
42,3,0,2
43,2,0,2
44,2,1,0
45,1,1,1
46,1,1,2
47,2,1,1
48,0,0,0
49,1,0,2
50,2,1,0
